Time,T1,T2,Q1,Q2,SP1,SP2
245.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
246.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
248.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
249.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
251.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
252.03,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
253.02,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
254.04,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
256.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
257.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
259.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
260.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
261.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
262.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
263.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
265.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
266.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
268.04,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
269.05,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
271.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
272.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
274.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
275.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
277.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
278.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
280.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
281.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
282.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
283.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
284.07,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
286.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
287.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
289.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
290.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
291.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
292.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
293.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
295.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
296.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
298.04,42.2213,40.287499999999994,29.82560000000001,100,50.0,40.0
